Size Change Statistics for files repaired with bRepair for each subject. Empty value means untested.
File Name,Format,Original Size,INI Repaired Size,cJSON Repaired Size,SExpParser Repaired Size,TinyC Repaired Size,INI Deletions,INI Insertions,cJSON Deletions,cJSON Insertions,SExpParser Deletions,SExpParser Insertions,TinyC Deletions,TinyC Insertions
/testfiles/ini-invalid-mult/02aaf66820894d1b833271da95740b64.ini,INI,615,616,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/03d9d18ef6004208abcb3c7f02710d40.ini,INI,64,65,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/04b78aa09feb4986a5081572e6177328.ini,INI,658,668,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/05606e4eb3d84e2cbb626a16d9946ddb.ini,INI,78,79,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/0af5a86b599e487f9cb008cec87d9c3f.ini,INI,131,132,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/11b22fcb485f4a5291f05eccaa576823.ini,INI,109,110,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/15027701cec74115ac3b0b7857520ae5.ini,INI,815,816,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/15e85720f2504b5bad79116e2b76b1b1.ini,INI,356,357,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/17397f8878cf48938d91fa9dc2f7e220.ini,INI,104,105,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/1a2a89f9637047f3af9d4821a3026622.ini,INI,678,679,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/1a748ad35c4e433ca33698872f10bcf0.ini,INI,237,238,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/1e977052ac3845068e0482fd6900b05d.ini,INI,136,137,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/21cb41024aa04ab5b7a72f1c3015cbc1.ini,INI,151,153,,,,0,1,,,,,,
/testfiles/ini-invalid-mult/248d59e5d5c544d3b3e5fde86ae32fab.ini,INI,394,395,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/2679f986d5e9442dbf5d87671df76cbe.ini,INI,26,27,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/26b98eab60ba454dad5c456316161247.ini,INI,477,478,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/27d46c1be9344fa1b0ed55137f8be636.ini,INI,485,486,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/334a4fd72a184ffe8fd43c9d26a4048e.ini,INI,449,450,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/341449945dc446c3b73c5e072851c62d.ini,INI,715,740,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/34156eb2bb344d33a1e3c3fd7343ebb0.ini,INI,601,602,,,,1,0,,,,,,
/testfiles/ini-invalid-mult/35a62177fd524cb794c91a6a6f760c28.ini,INI,544,545,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/3bb4d88e43a0492cab0cbb544fa8aca2.ini,INI,765,774,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/4269915eb132401bb97b2db3a8b8f6d4.ini,INI,66,67,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/43d41527a7de4b3a9167afb780d2d677.ini,INI,1376,1397,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/44781a384cf14d95abec149a000f3403.ini,INI,276,277,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/4932e254b68b4d25908eeffeb7866e38.ini,INI,24,25,,,,1,0,,,,,,
/testfiles/ini-invalid-mult/4bec67f1c14249c8aeec9b2e7aee293f.ini,INI,822,823,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/4ff53a02ba134bc3aa892daa55b9bfe3.ini,INI,44,46,,,,0,1,,,,,,
/testfiles/ini-invalid-mult/507f98b2c58047eaaa2b2b7420b4c8aa.ini,INI,45,48,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/51c7eecba3c54a9c90bbfbc808db3c26.ini,INI,77,78,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/54a80bdc3ecc41569f798aa786c58fb1.ini,INI,404,405,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/54acb241c87e4014b1fd59bb9cde707e.ini,INI,840,841,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/59a8685104584a2c9df4200876f4796b.ini,INI,46,48,,,,0,1,,,,,,
/testfiles/ini-invalid-mult/5b0696535a464ab1ba0315a25ded5566.ini,INI,649,650,,,,1,2,,,,,,
/testfiles/ini-invalid-mult/5b0a05b5a23942c681c87f3162a031fa.ini,INI,1204,1225,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/5f69c3fa7bfc41f89c316f0b467b2e8b.ini,INI,59,60,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/650b74f71bec4e2391dc331481e5fb14.ini,INI,418,419,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/6525efe77abe45ab90286870fba59ef9.ini,INI,755,756,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/65f8a36b4c7341d387e8fc3a2bc87b4f.ini,INI,188,189,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/6bbf163a7b7d4fcc93c265663502cfb3.ini,INI,152,154,,,,0,1,,,,,,
/testfiles/ini-invalid-mult/6cf54ba20f6c49438fcfab030c5e9db5.ini,INI,117,118,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/7010be0e664d4c91aa92815c09db3f1d.ini,INI,613,614,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/716ee960c13a4bd0a754d05c4e27b2dd.ini,INI,221,222,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/71ace347216246d1a65dcfbc400a3785.ini,INI,73,74,,,,1,0,,,,,,
/testfiles/ini-invalid-mult/75822dd358784dc686cca39493271d41.ini,INI,462,479,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/78834115320e49918c376d5109a684a5.ini,INI,247,248,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/8983ac67661a4c1493ec0bdd06a4e0e1.ini,INI,398,398,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/95c0e7f4c98b40ca9c99c100fd324cfc.ini,INI,45,47,,,,2,0,,,,,,
/testfiles/ini-invalid-mult/a151d5f6a1014242ba88bdffe555d347.ini,INI,55,64,,,,0,0,,,,,,
/testfiles/ini-invalid-mult/d2aa86baed034368a3dd64f191428b26.ini,INI,592,594,,,,0,1,,,,,,
/testfiles/ini-invalid-single/02aaf66820894d1b833271da95740b64.ini,INI,611,612,,,,0,0,,,,,,
/testfiles/ini-invalid-single/03d9d18ef6004208abcb3c7f02710d40.ini,INI,63,64,,,,0,0,,,,,,
/testfiles/ini-invalid-single/04b78aa09feb4986a5081572e6177328.ini,INI,660,660,,,,0,0,,,,,,
/testfiles/ini-invalid-single/05606e4eb3d84e2cbb626a16d9946ddb.ini,INI,63,64,,,,0,0,,,,,,
/testfiles/ini-invalid-single/0af5a86b599e487f9cb008cec87d9c3f.ini,INI,127,128,,,,0,0,,,,,,
/testfiles/ini-invalid-single/11b22fcb485f4a5291f05eccaa576823.ini,INI,106,107,,,,0,0,,,,,,
/testfiles/ini-invalid-single/15027701cec74115ac3b0b7857520ae5.ini,INI,819,820,,,,0,0,,,,,,
/testfiles/ini-invalid-single/15e85720f2504b5bad79116e2b76b1b1.ini,INI,365,366,,,,0,0,,,,,,
/testfiles/ini-invalid-single/17397f8878cf48938d91fa9dc2f7e220.ini,INI,104,105,,,,0,0,,,,,,
/testfiles/ini-invalid-single/1a2a89f9637047f3af9d4821a3026622.ini,INI,667,668,,,,0,0,,,,,,
/testfiles/ini-invalid-single/1a748ad35c4e433ca33698872f10bcf0.ini,INI,235,236,,,,0,0,,,,,,
/testfiles/ini-invalid-single/1e977052ac3845068e0482fd6900b05d.ini,INI,149,151,,,,0,1,,,,,,
/testfiles/ini-invalid-single/21cb41024aa04ab5b7a72f1c3015cbc1.ini,INI,161,162,,,,0,0,,,,,,
/testfiles/ini-invalid-single/248d59e5d5c544d3b3e5fde86ae32fab.ini,INI,391,392,,,,0,0,,,,,,
/testfiles/ini-invalid-single/2679f986d5e9442dbf5d87671df76cbe.ini,INI,30,31,,,,0,0,,,,,,
/testfiles/ini-invalid-single/26b98eab60ba454dad5c456316161247.ini,INI,487,488,,,,0,0,,,,,,
/testfiles/ini-invalid-single/27d46c1be9344fa1b0ed55137f8be636.ini,INI,489,490,,,,0,0,,,,,,
/testfiles/ini-invalid-single/334a4fd72a184ffe8fd43c9d26a4048e.ini,INI,456,457,,,,0,0,,,,,,
/testfiles/ini-invalid-single/341449945dc446c3b73c5e072851c62d.ini,INI,711,712,,,,0,0,,,,,,
/testfiles/ini-invalid-single/34156eb2bb344d33a1e3c3fd7343ebb0.ini,INI,613,614,,,,0,0,,,,,,
/testfiles/ini-invalid-single/35a62177fd524cb794c91a6a6f760c28.ini,INI,541,542,,,,0,0,,,,,,
/testfiles/ini-invalid-single/3bb4d88e43a0492cab0cbb544fa8aca2.ini,INI,765,774,,,,0,0,,,,,,
/testfiles/ini-invalid-single/4269915eb132401bb97b2db3a8b8f6d4.ini,INI,74,75,,,,0,0,,,,,,
/testfiles/ini-invalid-single/43d41527a7de4b3a9167afb780d2d677.ini,INI,1369,1370,,,,0,0,,,,,,
/testfiles/ini-invalid-single/44781a384cf14d95abec149a000f3403.ini,INI,281,282,,,,0,0,,,,,,
/testfiles/ini-invalid-single/4932e254b68b4d25908eeffeb7866e38.ini,INI,25,26,,,,0,0,,,,,,
/testfiles/ini-invalid-single/4bec67f1c14249c8aeec9b2e7aee293f.ini,INI,834,835,,,,0,0,,,,,,
/testfiles/ini-invalid-single/4ff53a02ba134bc3aa892daa55b9bfe3.ini,INI,42,43,,,,0,0,,,,,,
/testfiles/ini-invalid-single/507f98b2c58047eaaa2b2b7420b4c8aa.ini,INI,33,33,,,,0,0,,,,,,
/testfiles/ini-invalid-single/51c7eecba3c54a9c90bbfbc808db3c26.ini,INI,75,76,,,,0,0,,,,,,
/testfiles/ini-invalid-single/54a80bdc3ecc41569f798aa786c58fb1.ini,INI,393,394,,,,0,0,,,,,,
/testfiles/ini-invalid-single/54acb241c87e4014b1fd59bb9cde707e.ini,INI,840,841,,,,0,0,,,,,,
/testfiles/ini-invalid-single/59a8685104584a2c9df4200876f4796b.ini,INI,44,45,,,,0,0,,,,,,
/testfiles/ini-invalid-single/5b0696535a464ab1ba0315a25ded5566.ini,INI,655,655,,,,0,1,,,,,,
/testfiles/ini-invalid-single/5b0a05b5a23942c681c87f3162a031fa.ini,INI,1193,1194,,,,0,0,,,,,,
/testfiles/ini-invalid-single/5f69c3fa7bfc41f89c316f0b467b2e8b.ini,INI,51,52,,,,0,0,,,,,,
/testfiles/ini-invalid-single/650b74f71bec4e2391dc331481e5fb14.ini,INI,430,431,,,,0,0,,,,,,
/testfiles/ini-invalid-single/6525efe77abe45ab90286870fba59ef9.ini,INI,765,766,,,,0,0,,,,,,
/testfiles/ini-invalid-single/65f8a36b4c7341d387e8fc3a2bc87b4f.ini,INI,180,181,,,,0,0,,,,,,
/testfiles/ini-invalid-single/6bbf163a7b7d4fcc93c265663502cfb3.ini,INI,151,152,,,,0,0,,,,,,
/testfiles/ini-invalid-single/6cf54ba20f6c49438fcfab030c5e9db5.ini,INI,101,102,,,,0,0,,,,,,
/testfiles/ini-invalid-single/7010be0e664d4c91aa92815c09db3f1d.ini,INI,611,612,,,,0,0,,,,,,
/testfiles/ini-invalid-single/716ee960c13a4bd0a754d05c4e27b2dd.ini,INI,214,215,,,,0,0,,,,,,
/testfiles/ini-invalid-single/71ace347216246d1a65dcfbc400a3785.ini,INI,75,76,,,,0,0,,,,,,
/testfiles/ini-invalid-single/75822dd358784dc686cca39493271d41.ini,INI,457,458,,,,0,0,,,,,,
/testfiles/ini-invalid-single/78834115320e49918c376d5109a684a5.ini,INI,250,251,,,,0,0,,,,,,
/testfiles/ini-invalid-single/8983ac67661a4c1493ec0bdd06a4e0e1.ini,INI,384,521,,,,0,0,,,,,,
/testfiles/ini-invalid-single/95c0e7f4c98b40ca9c99c100fd324cfc.ini,INI,57,58,,,,0,0,,,,,,
/testfiles/ini-invalid-single/a151d5f6a1014242ba88bdffe555d347.ini,INI,44,51,,,,0,0,,,,,,
/testfiles/ini-invalid-single/d2aa86baed034368a3dd64f191428b26.ini,INI,596,596,,,,0,1,,,,,,
/testfiles/ini-invalid/04764e65915e4931ab1704b7557920c0.ini,INI,94772,94772,,,,0,0,,,,,,
/testfiles/ini-invalid/08886baf8f8f41b0a42ebac7c672f8e8.ini,INI,189,190,,,,0,0,,,,,,
/testfiles/ini-invalid/0f01517c98814fbe8f931c492c6a0fbe.ini,INI,16,17,,,,1,0,,,,,,
/testfiles/ini-invalid/102810848728410eaa2926e982e3da81.ini,INI,50,51,,,,0,0,,,,,,
/testfiles/ini-invalid/16524b2f5e33465d90d7ede55f788090.ini,INI,1969,0,,,,1590,1,,,,,,
/testfiles/ini-invalid/1ca68fd56e444be4bb0b08ac2247c7a7.ini,INI,61,62,,,,1,0,,,,,,
/testfiles/ini-invalid/1dad70d84bfb4596b2296fb4c82e1ef7.ini,INI,4422,4422,,,,0,0,,,,,,
/testfiles/ini-invalid/1e00680767f24a269d8903776cf40a9e.ini,INI,41857,19929,,,,0,0,,,,,,
/testfiles/ini-invalid/20a0b99cd2764501bdf5388be8f5bc8f.ini,INI,803,803,,,,0,0,,,,,,
/testfiles/ini-invalid/2168b66ad1ac41d685876feb07f248a6.ini,INI,69,32,,,,0,0,,,,,,
/testfiles/ini-invalid/22f5aae0472b4fd299fb17a1ab0e5446.ini,INI,62,63,,,,2,0,,,,,,
/testfiles/ini-invalid/26a5a578e1e14510bd8ecff5ebff5363.ini,INI,191,192,,,,0,0,,,,,,
/testfiles/ini-invalid/282de391b914459a93babb3b5aa991e7.ini,INI,19787,19787,,,,0,0,,,,,,
/testfiles/ini-invalid/2f56e48b3d254b11af1781829435a491.ini,INI,1948,1948,,,,0,0,,,,,,
/testfiles/ini-invalid/2fa5a2bf8a8341f98c059d197af640b2.ini,INI,5962,5962,,,,0,0,,,,,,
/testfiles/ini-invalid/327b9b9dc29040c4bd8a6442a5c7ed2d.ini,INI,68,69,,,,1,0,,,,,,
/testfiles/ini-invalid/33780e3b92c541c39f9854e4eab31923.ini,INI,14036,6542,,,,0,0,,,,,,
/testfiles/ini-invalid/34cd2701a4f14671b0d5556536d57fab.ini,INI,50,51,,,,0,0,,,,,,
/testfiles/ini-invalid/38437b051324451d9e66aa8523d98d5a.ini,INI,1378,1380,,,,1,2,,,,,,
/testfiles/ini-invalid/396b6133aeeb4e5a87d34a908155edcc.ini,INI,5787,5787,,,,0,0,,,,,,
/testfiles/ini-invalid/3b74a444352349328916504f97681103.ini,INI,195,198,,,,1,1,,,,,,
/testfiles/ini-invalid/4473b36138f14f208728139231e13d53.ini,INI,118,119,,,,0,0,,,,,,
/testfiles/ini-invalid/479d0752cbe94bd99a329f6738b3009c.ini,INI,20561,9646,,,,0,0,,,,,,
/testfiles/ini-invalid/48efc6eb126541e4af834fa253f3ae42.ini,INI,1185,0,,,,650,2,,,,,,
/testfiles/ini-invalid/49c1489732b54d029f7be56e505b3ffb.ini,INI,352,354,,,,0,1,,,,,,
/testfiles/ini-invalid/4b4abf06e0864b9195bca3daccb0f9af.ini,INI,212,213,,,,0,0,,,,,,
/testfiles/ini-invalid/4fb3e32ec778440ba740770d29f38b3d.ini,INI,238,239,,,,0,0,,,,,,
/testfiles/ini-invalid/5227364499d44eef89017fc867614c0a.ini,INI,37,38,,,,1,0,,,,,,
/testfiles/ini-invalid/59f4a15848594056a675732528913835.ini,INI,3534,3534,,,,0,0,,,,,,
/testfiles/ini-invalid/5d4b27ca12394f089f575f34b527a9b9.ini,INI,99,101,,,,0,2,,,,,,
/testfiles/ini-invalid/61187accb8db4c7ca25d9de6b07a387c.ini,INI,284,0,,,,29,1,,,,,,
/testfiles/ini-invalid/62b3283f4e3d451b93ddb20a456d3f6b.ini,INI,61,62,,,,0,0,,,,,,
/testfiles/ini-invalid/6374dff6bed8411f956393aa949c2ac2.ini,INI,52356,23883,,,,0,0,,,,,,
/testfiles/ini-invalid/7368656aa83d493e817cf6f9f3c1c7b3.ini,INI,8,9,,,,0,0,,,,,,
/testfiles/ini-invalid/7404821f097545b7a3fbd9fb06520c14.ini,INI,2575,2575,,,,0,0,,,,,,
/testfiles/ini-invalid/74e224deb132400586d5c061364a9ac2.ini,INI,460,461,,,,0,0,,,,,,
/testfiles/ini-invalid/772d9763e5f14cdf83a3e3e06d64b504.ini,INI,13830,13830,,,,0,0,,,,,,
/testfiles/ini-invalid/7ea20fb9ca5e44c5a197c43a9d6f7ef3.ini,INI,3506,3506,,,,0,0,,,,,,
/testfiles/ini-invalid/7f500e4d426c443cb9b6e24577f0212d.ini,INI,2244,0,,,,2305,0,,,,,,
/testfiles/ini-invalid/844b47644dd0474ca19ee3f008ddbf37.ini,INI,579,581,,,,0,2,,,,,,
/testfiles/ini-invalid/847d39f10b7c49e5995f3c990a576484.ini,INI,132,133,,,,0,0,,,,,,
/testfiles/ini-invalid/8596a423f3234a2e9ad5c081ab3aa3fb.ini,INI,216,0,,,,134,1,,,,,,
/testfiles/ini-invalid/8d5b7c12498e4a4c9bd472c6940690a6.ini,INI,6570,6570,,,,0,0,,,,,,
/testfiles/ini-invalid/8d87ec95ccbc45a6bc82df245508cd80.ini,INI,7551,7551,,,,0,0,,,,,,
/testfiles/ini-invalid/8f390243353e42488fd623d4d1e626be.ini,INI,202,94,,,,0,0,,,,,,
/testfiles/ini-invalid/911570f26e0445fab679c271852c0ae0.ini,INI,1417,1419,,,,1,2,,,,,,
/testfiles/ini-invalid/91a794160a734d3c813e12c499d3493c.ini,INI,251,252,,,,0,0,,,,,,
/testfiles/ini-invalid/922390da26ac442aa5003d3632559677.ini,INI,85,87,,,,1,2,,,,,,
/testfiles/ini-invalid/92bcfd8cc82f4f17972689d8e4a60591.ini,INI,346,347,,,,0,0,,,,,,
/testfiles/ini-invalid/92c7c6ae5af2412c91c3f7188ac601a7.ini,INI,18501,18502,,,,1,0,,,,,,
/testfiles/ini-invalid/93e99a9ef1e045afb67057001089438b.ini,INI,41,42,,,,0,0,,,,,,
/testfiles/ini-invalid/941abc9fafb44ed8a0a7a6a0935a62fd.ini,INI,16027,16027,,,,0,0,,,,,,
/testfiles/ini-invalid/94a3b18d1b344ef5b26a9d223ae53fba.ini,INI,6010,0,,,,6709,1,,,,,,
/testfiles/ini-invalid/9634a98b7a41407dbdaf03cf8bd74056.ini,INI,13,14,,,,0,0,,,,,,
/testfiles/ini-invalid/965190f4836a40e89f06ce5133da95aa.ini,INI,466,467,,,,1,1,,,,,,
/testfiles/ini-invalid/9c6601fc87f04c1c9b63d87cba40d45a.ini,INI,520,521,,,,1,1,,,,,,
/testfiles/ini-invalid/9c66bf7ac2884e7298ca5dc96efc0521.ini,INI,196,89,,,,0,0,,,,,,
/testfiles/ini-invalid/a028a1fc70bf44e8954b49ea2079e599.ini,INI,292,0,,,,55,1,,,,,,
/testfiles/ini-invalid/a2361ebdefa147eeb06a30f134f33393.ini,INI,52239,52239,,,,0,0,,,,,,
/testfiles/ini-invalid/a31348c201ff43a6a604968204a9d8a7.ini,INI,108,109,,,,0,2,,,,,,
/testfiles/ini-invalid/a5f0651048064af99adc2b7d0fd997b7.ini,INI,3962,3962,,,,0,0,,,,,,
/testfiles/ini-invalid/aa007a540ad34b4da2c030ff7a3f1692.ini,INI,3369,3369,,,,0,0,,,,,,
/testfiles/ini-invalid/aca95f84afc64f7c93888759cf71bc23.ini,INI,15510,7251,,,,0,0,,,,,,
/testfiles/ini-invalid/ae475ca623e748b2af9d3337f23c2726.ini,INI,29285,0,,,,23071,0,,,,,,
/testfiles/ini-invalid/aeae35a827904b8cb30907db3612c1f6.ini,INI,21458,9959,,,,0,0,,,,,,
/testfiles/ini-invalid/b02ce30346ec42e19a98f005db7ec41f.ini,INI,9795,9795,,,,0,0,,,,,,
/testfiles/ini-invalid/b0b652742413472a872d930f53071e48.ini,INI,22731,22735,,,,1,2,,,,,,
/testfiles/ini-invalid/b1349132364d49af98c6097f52cce7be.ini,INI,118,119,,,,0,0,,,,,,
/testfiles/ini-invalid/b150e6bc62ab485a83b95def02a49b4c.ini,INI,249,251,,,,0,1,,,,,,
/testfiles/ini-invalid/b29f8ed7f9344b298d8f0033c577885d.ini,INI,192,195,,,,1,1,,,,,,
/testfiles/ini-invalid/b2d50ca57ad74f03b5361e328af9740d.ini,INI,22,23,,,,0,0,,,,,,
/testfiles/ini-invalid/b8ca2ea8f6af47b0ba5b5749cdb1956e.ini,INI,783,0,,,,427,1,,,,,,
/testfiles/ini-invalid/b9ee83210b9648c6babcdf46206b0abe.ini,INI,17736,8245,,,,0,0,,,,,,
/testfiles/ini-invalid/c2ca2861460244769cebee38b8f3c554.ini,INI,25797,25798,,,,0,0,,,,,,
/testfiles/ini-invalid/c3722dc6f3b54d22aa63e84ea2534f34.ini,INI,109,110,,,,0,2,,,,,,
/testfiles/ini-invalid/c590f92b7f7747d2ab5d9b52f47b3f7c.ini,INI,4,5,,,,1,0,,,,,,
/testfiles/ini-invalid/c59e8d8e75b34a4fad363931e7b79fcb.ini,INI,203,205,,,,0,1,,,,,,
/testfiles/ini-invalid/c6adb4d4da0946e6908c260039780a30.ini,INI,69,32,,,,0,0,,,,,,
/testfiles/ini-invalid/caed9f496e6c40789ec0e1ee2f06c4db.ini,INI,4185,4188,,,,1,1,,,,,,
/testfiles/ini-invalid/cc5cd7e27af34182ad929ac4d5e7162d.ini,INI,16094,16094,,,,0,0,,,,,,
/testfiles/ini-invalid/cdefebe268ab4cd3b3b4ec8469a5cd5c.ini,INI,839,839,,,,0,0,,,,,,
/testfiles/ini-invalid/ced0e230088d49cfb266317685efdd57.ini,INI,246,248,,,,0,1,,,,,,
/testfiles/ini-invalid/cee0c8dec6b344abb0f4419685016bd5.ini,INI,7270,7270,,,,0,0,,,,,,
/testfiles/ini-invalid/cf60f47905fd410ab864aaea0f7807da.ini,INI,797,0,,,,561,1,,,,,,
/testfiles/ini-invalid/d7c3595d12f14cc381f413be6d1d38ac.ini,INI,30556,30557,,,,1,0,,,,,,
/testfiles/ini-invalid/d7c7f85073134aa4a05327cd06be730c.ini,INI,140,141,,,,1,0,,,,,,
/testfiles/ini-invalid/dce4da3038344ef5b9ad38315ed24f64.ini,INI,590,592,,,,3,0,,,,,,
