Diagnosis Results.
File Name,Format,INI DDMin Diagnosis Size,INI DDMax Diff Size,INI BRepair Diff Size,INI DDMax Output Size,INI Percentage of DDMax Diff contained in DDMin Diagnosis,INI Percentage of DDMin Diagnosis contained in DDMax Output,INI Percentage of bRepair Diff contained in DDMin Diagnosis,INI Percentage of DDMin Diagnosis contained in bRepair Output,INI Percentage of BRepair Diagnosis contained in DDMax Diagnosis,INI Percentage of DDMax Diagnosis contained in bRepair Diagnosis,INI Percentage of bRepair Diagnosis contained in DDMax Output,INI Percentage of DDMax Diagnosis contained in bRepair Output,cJSON DDMin Diagnosis Size,cJSON DDMax Diff Size,cJSON BRepair Diff Size,cJSON DDMax Output Size,cJSON Percentage of DDMax Diff contained in DDMin Diagnosis,cJSON Percentage of DDMin Diagnosis contained in DDMax Output,cJSON Percentage of bRepair Diff contained in DDMin Diagnosis,cJSON Percentage of DDMin Diagnosis contained in bRepair Output,cJSON Percentage of BRepair Diagnosis contained in DDMax Diagnosis,cJSON Percentage of DDMax Diagnosis contained in bRepair Diagnosis,cJSON Percentage of bRepair Diagnosis contained in DDMax Output,cJSON Percentage of DDMax Diagnosis contained in bRepair Output,SExpParser DDMin Diagnosis Size,SExpParser DDMax Diff Size,SExpParser BRepair Diff Size,SExpParser DDMax Output Size,SExpParser Percentage of DDMax Diff contained in DDMin Diagnosis,SExpParser Percentage of DDMin Diagnosis contained in DDMax Output,SExpParser Percentage of bRepair Diff contained in DDMin Diagnosis,SExpParser Percentage of DDMin Diagnosis contained in bRepair Output,SExpParser Percentage of BRepair Diagnosis contained in DDMax Diagnosis,SExpParser Percentage of DDMax Diagnosis contained in bRepair Diagnosis,SExpParser Percentage of bRepair Diagnosis contained in DDMax Output,SExpParser Percentage of DDMax Diagnosis contained in bRepair Output,TinyC DDMin Diagnosis Size,TinyC DDMax Diff Size,TinyC BRepair Diff Size,TinyC DDMax Output Size,TinyC Percentage of DDMax Diff contained in DDMin Diagnosis,TinyC Percentage of DDMin Diagnosis contained in DDMax Output,TinyC Percentage of bRepair Diff contained in DDMin Diagnosis,TinyC Percentage of DDMin Diagnosis contained in bRepair Output,TinyC Percentage of BRepair Diagnosis contained in DDMax Diagnosis,TinyC Percentage of DDMax Diagnosis contained in bRepair Diagnosis,TinyC Percentage of bRepair Diagnosis contained in DDMax Output,TinyC Percentage of DDMax Diagnosis contained in bRepair Output
/testfiles/ini-invalid-mult/02aaf66820894d1b833271da95740b64.ini,INI,3.0,1.0,0.0,754.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/03d9d18ef6004208abcb3c7f02710d40.ini,INI,1.0,1.0,0.0,77.0,0.0,0.025974026,0.0,0.025316456,0.0,0.0,0.0,0.025316456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/04b78aa09feb4986a5081572e6177328.ini,INI,1.0,,,830.0,,0.0024479805,,0.0024420023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/05606e4eb3d84e2cbb626a16d9946ddb.ini,INI,1.0,1.0,0.0,98.0,0.0,0.021276595,0.0,0.02020202,0.0,0.0,0.0,0.02020202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/0af5a86b599e487f9cb008cec87d9c3f.ini,INI,1.0,1.0,0.0,188.0,0.0,0.010928961,0.0,0.010810811,0.0,0.0,0.0,0.010810811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/11b22fcb485f4a5291f05eccaa576823.ini,INI,3.0,1.0,0.0,141.0,0.5,0.028169014,0.0,0.027777778,0.0,0.0,0.0,0.014084507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/15027701cec74115ac3b0b7857520ae5.ini,INI,3.0,1.0,0.0,1101.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/15e85720f2504b5bad79116e2b76b1b1.ini,INI,3.0,1.0,0.0,475.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/17397f8878cf48938d91fa9dc2f7e220.ini,INI,3.0,6.0,0.0,145.0,0.22222222,0.04137931,0.0,0.040816326,0.0,0.0,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/1a2a89f9637047f3af9d4821a3026622.ini,INI,3.0,4.0,0.0,870.0,0.2857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/1a748ad35c4e433ca33698872f10bcf0.ini,INI,1.0,,,286.0,,0.007168459,,0.0071174377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/1e977052ac3845068e0482fd6900b05d.ini,INI,1.0,1.0,0.0,160.0,0.0,0.0124223605,0.0,0.012269938,0.0,0.0,0.0,0.012269938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/21cb41024aa04ab5b7a72f1c3015cbc1.ini,INI,1.0,3.0,6.0,231.0,0.0,0.00862069,0.0,0.008438818,0.22222222,0.22222222,0.0,0.008368201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/248d59e5d5c544d3b3e5fde86ae32fab.ini,INI,3.0,11.0,0.0,534.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/2679f986d5e9442dbf5d87671df76cbe.ini,INI,33.0,2.0,0.0,31.0,0.114285715,0.96875,0.0,0.98507464,0.0,0.0,0.0,0.11111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/26b98eab60ba454dad5c456316161247.ini,INI,3.0,1.0,0.0,666.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/27d46c1be9344fa1b0ed55137f8be636.ini,INI,3.0,1.0,0.0,677.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/334a4fd72a184ffe8fd43c9d26a4048e.ini,INI,3.0,1.0,0.0,620.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/341449945dc446c3b73c5e072851c62d.ini,INI,3.0,1.0,0.0,1028.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/34156eb2bb344d33a1e3c3fd7343ebb0.ini,INI,3.0,3.0,1.0,732.0,0.33333334,0.0027210885,0.5,0.0027100272,0.5,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/35a62177fd524cb794c91a6a6f760c28.ini,INI,1.0,1.0,0.0,673.0,0.0,0.002994012,0.0,0.0029850747,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/3bb4d88e43a0492cab0cbb544fa8aca2.ini,INI,3.0,,,959.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/4269915eb132401bb97b2db3a8b8f6d4.ini,INI,1.0,1.0,0.0,90.0,0.0,0.021978023,0.0,0.021505376,0.0,0.0,0.0,0.021505376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/43d41527a7de4b3a9167afb780d2d677.ini,INI,3.0,2.0,0.0,1992.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/44781a384cf14d95abec149a000f3403.ini,INI,3.0,2.0,0.0,367.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/4932e254b68b4d25908eeffeb7866e38.ini,INI,1.0,1.0,0.0,26.0,0.0,0.074074075,0.0,0.06896552,0.0,0.0,0.0,0.06896552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/4bec67f1c14249c8aeec9b2e7aee293f.ini,INI,3.0,1.0,0.0,1026.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/4ff53a02ba134bc3aa892daa55b9bfe3.ini,INI,1.0,8.0,0.0,61.0,0.0,0.037037037,0.0,0.03448276,0.0,0.0,0.0,0.21538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/507f98b2c58047eaaa2b2b7420b4c8aa.ini,INI,1.0,,,53.0,,0.04255319,,0.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/51c7eecba3c54a9c90bbfbc808db3c26.ini,INI,1.0,1.0,0.0,102.0,0.0,0.019607844,0.0,0.01923077,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/54a80bdc3ecc41569f798aa786c58fb1.ini,INI,3.0,,,539.0,,0.0037243948,,0.0037105752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/54acb241c87e4014b1fd59bb9cde707e.ini,INI,3.0,1.0,0.0,1049.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/testfiles/ini-invalid-mult/59a8685104584a2c9df4200876f4796b.ini,INI,1.0,,,61.0,,0.036363635,,0.03448276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
