File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,INI
/testfiles/ini-invalid-single/507f98b2c58047eaaa2b2b7420b4c8aa.ini,33,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/59a8685104584a2c9df4200876f4796b.ini,46,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/38437b051324451d9e66aa8523d98d5a.ini,1378,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/3b74a444352349328916504f97681103.ini,195,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/327b9b9dc29040c4bd8a6442a5c7ed2d.ini,68,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/f60796b1aa5544b089d52f8c225aad84.ini,14,,Reported Incomplete
/testfiles/ini-invalid/922390da26ac442aa5003d3632559677.ini,85,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/4269915eb132401bb97b2db3a8b8f6d4.ini,74,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/a2361ebdefa147eeb06a30f134f33393.ini,52239,,
/testfiles/ini-invalid-mult/6525efe77abe45ab90286870fba59ef9.ini,755,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/1a2a89f9637047f3af9d4821a3026622.ini,678,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/8d87ec95ccbc45a6bc82df245508cd80.ini,7551,,
/testfiles/ini-invalid/91a794160a734d3c813e12c499d3493c.ini,251,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/4fb3e32ec778440ba740770d29f38b3d.ini,238,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/8983ac67661a4c1493ec0bdd06a4e0e1.ini,384,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/282de391b914459a93babb3b5aa991e7.ini,19787,,
/testfiles/ini-invalid-mult/15027701cec74115ac3b0b7857520ae5.ini,815,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/b29f8ed7f9344b298d8f0033c577885d.ini,192,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/5b0696535a464ab1ba0315a25ded5566.ini,649,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/650b74f71bec4e2391dc331481e5fb14.ini,430,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/a5f0651048064af99adc2b7d0fd997b7.ini,3962,,
/testfiles/ini-invalid/26a5a578e1e14510bd8ecff5ebff5363.ini,191,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/847d39f10b7c49e5995f3c990a576484.ini,132,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/b150e6bc62ab485a83b95def02a49b4c.ini,249,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/71ace347216246d1a65dcfbc400a3785.ini,75,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/ced0e230088d49cfb266317685efdd57.ini,246,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/9c6601fc87f04c1c9b63d87cba40d45a.ini,520,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/396b6133aeeb4e5a87d34a908155edcc.ini,5787,,
/testfiles/ini-invalid/08886baf8f8f41b0a42ebac7c672f8e8.ini,189,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/716ee960c13a4bd0a754d05c4e27b2dd.ini,214,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/c6adb4d4da0946e6908c260039780a30.ini,69,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/1dad70d84bfb4596b2296fb4c82e1ef7.ini,4422,,
/testfiles/ini-invalid/34cd2701a4f14671b0d5556536d57fab.ini,50,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/78834115320e49918c376d5109a684a5.ini,247,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/78834115320e49918c376d5109a684a5.ini,250,,Reported an incorrect input with exit code 1
