File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,SExpParser
/testfiles/sexp-invalid-mult/01e11bc5f55348ce8fde032be8b26672.lisp,38,,Reported Incomplete
/testfiles/sexp-invalid-single/0b0cdb500783415cb1cdcc9390415d58.lisp,71,,Reported Incomplete
/testfiles/sexp-invalid-single/095dacec0c6b456ba43dad2cb6e59f82.lisp,13,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/016b2b78a27848219ecabe1de4a29021.lisp,5142,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0b0d3e38fd14408cb9b6a2736871aa22.lisp,38,,Reported Incomplete
/testfiles/sexp-invalid-single/02f0bc50c3564ed3b2176313904760d8.lisp,25,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/06b600297a4f4676ba93622ed77049ea.lisp,284,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/05a37ed9483d427e99a48e6eb3d5b487.lisp,952,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/03a81a26667345058cd3b11eb34f90c2.lisp,107,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/084f1d849cdd4e29a1bf961a4c50b95d.lisp,1497,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/0d20b074b5ca4beda67afa507f3e8848.lisp,371,,Reported Incomplete
/testfiles/sexp-invalid-single/06bed6114877426ba58bfb4faac5c678.lisp,42,,Reported Incomplete
/testfiles/sexp-invalid/0004b322813e4d3b9878789413327f0e.lisp,10656,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/202bcea09a5e4a3c8575aa7dc040c64d.lisp,359,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/00d6d106ec564412a7109329c9aaf429.lisp,7028,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0a657c248bab48bfb5804042d8d6ef29.lisp,246,,Reported Incomplete
/testfiles/sexp-invalid-single/03d5563b4f6e4735bed326bb3e56488c.lisp,41,,Reported Incomplete
/testfiles/sexp-invalid-single/06c69f7afe84404a9eef9938583eaf43.lisp,144,,Reported Incomplete
/testfiles/sexp-invalid-mult/049292e9a3c244c48d1f19e410eab767.lisp,1315,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/0c3d884bbeb4464ba4192b5a53461ee4.lisp,153,,Reported Incomplete
/testfiles/sexp-invalid-single/0758fe85bf75456e9e2b80485ab00d5d.lisp,211,,Reported Incomplete
/testfiles/sexp-invalid/21c3a283207749cda218db68f6d77e46.lisp,674,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/1eb16cfe72674c16b1d0644e134ac9f1.lisp,1020,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/007eef5388aa493a8947a5d15f61f863.lisp,482,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/00924371b7474871b3deef71b6e6f3dd.lisp,21388,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/1b36662829024af694d1e4bb1e38bd1c.lisp,1416,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0424d987e4df4cbfa327ad35cb3eedb3.lisp,402,,Reported Incomplete
/testfiles/sexp-invalid/0099242d9cf44dc4be480e58f65ae729.lisp,1418,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/069ca063d61d42a7adfa190e22d740aa.lisp,39,,Reported Incomplete
/testfiles/sexp-invalid-mult/04f0e02d71be490faf99beba44b8a23e.lisp,13,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/1f02adbddcf84f868e24ae63f36ab218.lisp,829,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/08e5c2804efc4459a5088161ee7f5457.lisp,54,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/0105e3b1bcbb490d93bd3a2795704eac.lisp,2662,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/004708c00a014b4898520973524e1775.lisp,11850,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/07715f4e764c419db75e06828628fa74.lisp,24,,Reported Incomplete
/testfiles/sexp-invalid-single/0203059e1b32433da3a3573239f467a7.lisp,56,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/00f22488d6ee4a569f4241caef4b9ee9.lisp,204,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/08d73f8da6b04c01ba832d06b0df05a0.lisp,120,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/1ea193ba4f294072b628c9268cfe10b7.lisp,4506,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/06bed6114877426ba58bfb4faac5c678.lisp,49,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/0716bab024024f2cbb937b79c295a07f.lisp,346,,Reported Incomplete
/testfiles/sexp-invalid/00dc710d728b4ee8bcf51617198eddd4.lisp,5600,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/008083ae0559438ea8c922310dde9ecc.lisp,282,,Reported Incomplete
/testfiles/sexp-invalid-single/08e5c2804efc4459a5088161ee7f5457.lisp,55,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/00cdbe1d236b42d3a39331d42e9c3651.lisp,351,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/01611e5541d5426e83e859259624e38d.lisp,6194,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/06904a68dd4c4c068ff7ef7fca52ca28.lisp,46,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/030aa5dfde994218af150b852419b2aa.lisp,108,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/0070c87bc7654c53afd2b0fbde6566e7.lisp,274,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0c3d884bbeb4464ba4192b5a53461ee4.lisp,139,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/0014eb373559468f8a584a213a9ab683.lisp,3584,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/04111f5523534f1aa05b3542a66b4db7.lisp,37,,Reported an incorrect input with exit code 1
