File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,TinyC
/testfiles/tinyc-invalid-single/e6d674fdf964c5afce4e74d393ffc469.c,21,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/eb8f9d51a9d325ac4de750fabb963302.c,17,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7ad8e152ba03aaf2f277c0696eec8b0a.c,16,,The process terminated with exit code 2
/testfiles/tinyc-invalid/706e4f13ca6533fae0b7e0f7f0cfdb07.c,48,,The process terminated with exit code 2
/testfiles/tinyc-invalid/7d4c40bf1b50fc9d9486bee93fd07c8e.c,669,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7b246cf7610b4e121f1980b353907428.c,0,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7491f03a28c78bdf86cb19e1bd5f4ee6.c,41,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6aca31f7da5c6664370a08948fd6bec2.c,17,,Reported Incomplete
/testfiles/tinyc-invalid/63a44566f3cb142bc774b55ef998424e.c,3385,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/eb8f9d51a9d325ac4de750fabb963302.c,4,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/640f11f20c625b0280f1d6206556483b.c,16,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/76397b1de134c646e7db4a2139b08232.c,3141,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/ff21ea78c5ffd528e7bc640c76fbc4ca.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/75fcd24cc8466e96ebb595e5f4943745.c,260,,The process terminated with exit code 89
/testfiles/tinyc-invalid-single/f9210dbac1e064902126801e05c2c33f.c,34,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e1c07ab7609479202fb03e9f8085804e.c,5,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/64f93eb43d57fbb105b58d1c821d1457.c,13,,Reported an incorrect input with exit code 1
